k,Val MSE,Val RMSE,Val R²,Training Time (s),Inference Time Val (s),Test MSE,Test RMSE,Test R²,Inference Time Test (s)
1,0.0005318435878397668,0.02306173427649722,0.999667837732383,5.321727752685547,462.2257936000824,0.02222074074325738,0.14906622938565722,0.23846368010422392,488.3110568523407
2,0.0003217600924207081,0.017937672435985336,0.9997985684815185,2.115246057510376,261.4702296257019,0.021929455550511248,0.14808597351036068,0.24549145848375523,500.07185530662537
3,0.00033534651381405796,0.018312468807183208,0.9997898347694817,2.1369543075561523,266.0377571582794,0.0216470529782581,0.1471293749672651,0.25207772658562194,513.5907247066498
4,0.0003594048296111881,0.018957975356329274,0.9997742097946022,2.0959439277648926,268.25728464126587,0.021381851860139772,0.14622534616180524,0.25841382022977394,526.6906695365906
